# luminosity_distance	mass_1	mass_2	ra	dec
3.379816957372910338e+02 1.004680474492691644e+01 9.420084434010496111e+00 1.553327491491798718e+00 1.288859292569759507e+00
3.886640282512827298e+02 9.911278314951772472e+00 9.479489561742777681e+00 2.153025138244290648e+00 9.040403617702182926e-01
3.315739219769158694e+02 1.112098777936753891e+01 8.593680097800815432e+00 2.169856393542057837e+00 7.245905454464902640e-01
3.800601656722293455e+02 1.182134331575165831e+01 8.050716061359374009e+00 2.123345826212595711e+00 4.686050527464611926e-01
3.792447656003875522e+02 1.101528191190503492e+01 8.598897830307869583e+00 2.113327548965246994e+00 4.335392573794435433e-01
4.369982483597266310e+02 9.983378955931721421e+00 9.438498048985652034e+00 2.063830709263930085e+00 1.056798355362924102e+00
3.475473468856560544e+02 1.963515922559783533e+01 5.328929835181836161e+00 2.039220072349368085e+00 3.747131877909539166e-01
4.191666523755411049e+02 1.168206028986816136e+01 8.154274361296190321e+00 2.188967683336148440e+00 6.067319022031008036e-01
3.665622428416556318e+02 1.086785590794475809e+01 8.688346667183608929e+00 2.138644583738269045e+00 6.437380328756678871e-01
3.746839333901826876e+02 9.978677660970957319e+00 9.659030670534624718e+00 2.140497525332276219e+00 1.130041083343262143e+00
3.427752728010540864e+02 1.254198473924041224e+01 7.652841412675154054e+00 2.150697498638564742e+00 6.890846244433550538e-01
3.583597027835224367e+02 1.251376790836369679e+01 7.680575832864006358e+00 2.116703278016354606e+00 1.002436097435533746e+00
3.380200195438674200e+02 1.069084179635145659e+01 8.970215834725713933e+00 2.194884102726997632e+00 8.658699056375290803e-01
3.450363616704694323e+02 1.006182119128328978e+01 9.478490449010948282e+00 1.857293856861229386e+00 1.197067287914621803e+00
2.998846262523053952e+02 1.518590521400679094e+01 6.509405920143106705e+00 2.114281309036915690e+00 4.215223992194600533e-01
2.837835764546969699e+02 1.137349566717560556e+01 8.390679901247070305e+00 2.083295938800191482e+00 3.653591702367765537e-01
